CODE_DEPT,total,question,id,theme
L'érosion du littoral,367,Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?,160,La transition écologique
La biodiversité et la disparition de certaines espèces,11211,Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?,160,La transition écologique
La pollution de l'air,11615,Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?,160,La transition écologique
"Les dérèglements climatiques (crue, sécheresse)",16986,Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?,160,La transition écologique
Non,20399,Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?,146,La transition écologique
Oui,38473,Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?,146,La transition écologique
Non,3523,"À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?",148,La transition écologique
Oui,55310,"À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?",148,La transition écologique
Non,22569,"Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?",152,La transition écologique
Oui,33489,"Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?",152,La transition écologique
Je n'utilise pas la voiture pour des déplacements quotidiens,12392,"Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l'auto-partage, le transport à la demande, le vélo, etc. ?",154,La transition écologique
Non,21899,"Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l'auto-partage, le transport à la demande, le vélo, etc. ?",154,La transition écologique
Oui,23637,"Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l'auto-partage, le transport à la demande, le vélo, etc. ?",154,La transition écologique
"""L'auto partage""",6213,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,La transition écologique
"""Le covoiturage""",9520,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,La transition écologique
"""Le transport à la demande""",10229,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,La transition écologique
"""Le vélo""",15392,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,La transition écologique
"""Les transports en commun""",26505,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,La transition écologique
"""Augmenter le temps de travail""",21373,"Afin de financer les dépenses sociales, faut-il selon vous...",206,La fisaclité et les dépenses publics
"""Augmenter les impôts""",3089,"Afin de financer les dépenses sociales, faut-il selon vous...",206,La fisaclité et les dépenses publics
"""Reculer l'âge de la retraite""",17825,"Afin de financer les dépenses sociales, faut-il selon vous...",206,La fisaclité et les dépenses publics
"""Revoir les conditions d'attribution de certaines aides sociales""",44610,"Afin de financer les dépenses sociales, faut-il selon vous...",206,La fisaclité et les dépenses publics
